date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:37:45	49380/49380	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.woff2	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:47	62316/62316	---M--	200	added ('OK')	application/font-woff	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.woff	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.woff	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:49	126792/126792	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.ttf	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:49	21320/21320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.eot?	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regulard41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:58	126072/126072	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.ttf	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regular.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:00	49236/49236	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.woff2	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regular.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:03	21364/21364	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.eot?	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Mediumd41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:08	50224/50224	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.woff2	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Medium.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:09	61736/61736	---M--	200	added ('OK')	application/font-woff	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.woff	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regular.woff	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:10	62980/62980	---M--	200	added ('OK')	application/font-woff	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.woff	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Medium.woff	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:11	21364/21364	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.eot	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Medium.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:15	127488/127488	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Medium.ttf	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Medium.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:15	20966/20966	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.eot	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Bold.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:21	20966/20966	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.eot?	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Boldd41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:26	127744/127744	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.ttf	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Bold.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:28	49976/49976	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.woff2	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Bold.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
07:38:41	62876/62876	---M--	200	added ('OK')	application/font-woff	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Bold.woff	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Bold.woff	(from http://materializecss.com/dist/css/materialize.min.css)
